Ticker;CompanyName;Sector;StockPrice
BMY;Bristol-Myers Squibb;Health Care;62.69
BSX;Boston Scientific;Health Care;25.2
CAH;Cardinal Health Inc.;Health Care;66.63
CELG;Celgene Corp.;Health Care;91.02
CERN;Cerner;Health Care;61.22
CI;CIGNA Corp.;Health Care;189.27
CNC;Centene Corporation;Health Care;100.36
COO;The Cooper Companies;Health Care;223.17
DGX;Quest Diagnostics;Health Care;96.42
DHR;Danaher Corp.;Health Care;92.16
DVA;DaVita Inc.;Health Care;71.91
ESRX;Express Scripts;Health Care;73.35
EVHC;Envision Healthcare;Health Care;35.34
EW;Edwards Lifesciences;Health Care;123.78
GILD;Gilead Sciences;Health Care;78.22
HCA;HCA Holdings;Health Care;95.97
HOLX;Hologic;Health Care;38.8
HSIC;Henry Schein;Health Care;70.85
HUM;Humana Inc.;Health Care;262.37
IDXX;IDEXX Laboratories;Health Care;169.28
ILMN;Illumina Inc;Health Care;209.54
INCY;Incyte;Health Care;83.92
IQV;IQVIA Holdings Inc.;Health Care;95.23
ISRG;Intuitive Surgical Inc.;Health Care;381.87
JNJ;Johnson & Johnson;Health Care;126.36
LH;Laboratory Corp. of America Holding;Health Care;165.46
LLY;Lilly (Eli) & Co.;Health Care;74.21
MCK;McKesson Corp.;Health Care;150.23
MDT;Medtronic plc;Health Care;78.38
MRK;Merck & Co.;Health Care;54.73
MTD;Mettler Toledo;Health Care;601
MYL;Mylan N.V.;Health Care;39.25
PDCO;Patterson Companies;Health Care;32.88
PFE;Pfizer Inc.;Health Care;33.63
PKI;PerkinElmer;Health Care;72.06
PRGO;Perrigo;Health Care;84.44
REGN;Regeneron;Health Care;322.62
RMD;ResMed;Health Care;89.26
SYK;Stryker Corp.;Health Care;148.01
TMO;Thermo Fisher Scientific;Health Care;198.73
UNH;United Health Group Inc.;Health Care;216.46
VAR;Varian Medical Systems;Health Care;112.82
VRTX;Vertex Pharmaceuticals Inc;Health Care;151.6
WAT;Waters Corporation;Health Care;191.79
XRAY;Dentsply Sirona;Health Care;56.85
ZBH;Zimmer Biomet Holdings;Health Care;115.53
ZTS;Zoetis;Health Care;71.51
AAL;American Airlines Group;Industrials;48.6
ALK;Alaska Air Group Inc;Industrials;64.04
ALLE;Allegion;Industrials;77.32
AME;AMETEK Inc;Industrials;72.05
AOS;A.O. Smith Corp;Industrials;60.24
ARNC;Arconic Inc;Industrials;24.45
AYI;Acuity Brands Inc;Industrials;145.41
BA;Boeing Company;Industrials;329.66
CAT;Caterpillar Inc.;Industrials;145.99
CHRW;C. H. Robinson Worldwide;Industrials;90.47
