Ticker;Name;Price;EarningsPerShare;FiftyTwoWeeksLow;FiftyTwoWeeksHigh;MarketCap;EBITDA
CINF;Cincinnati Financial;70.34;3.55;81.98;68.24;11916533018;0
CTAS;Cintas Corporation;149.32;4.38;169.96;113.79;16676145923;1097295000
CSCO;Cisco Systems;38.77;1.91;42.98;30.36;1.99426E+11;15447000000
C;Citigroup Inc.;71.87;-3.1;80.7;56.14;1.92709E+11;0
CFG;Citizens Financial Group;42.19;3.27;48.23;31.51;22008050974;0
CTXS;Citrix Systems;84.53;-0.24;95;73.3346;13199167493;810268000
CME;CME Group Inc.;153.04;11.94;163;114.8176;54423298745;2851800000
CMS;CMS Energy;41.77;1.99;50.85;41.07;11873960824;2099000000
KO;Coca-Cola Company (The);43.1;1.49;48.615;40.22;1.89855E+11;8589000000
CTSH;Cognizant Technology Solutions;75.16;2.54;79.28;54.76;45119684067;2946000000
CL;Colgate-Palmolive;68.95;2.28;77.91;66.26;61616643498;4064000000
CMCSA;Comcast Corp.;38.19;4.74;44;34.78;1.86477E+11;28675000000
CMA;Comerica Inc.;89.18;4.13;98.18;64.04;16274969256;0
CAG;Conagra Brands;35.49;1.46;41.68;32.16;14379717835;1281200000
CXO;Concho Resources;140.09;-11.04;162.91;106.73;22021882339;2151190000
COP;ConocoPhillips;53.24;-0.65;61.315;42.265;65482462410;5328000000
ED;Consolidated Edison;74.73;4.1;89.7;72.63;23335777662;4288000000
STZ;Constellation Brands;208.73;8.71;229.5;152.01;41697453163;3033300000
GLW;Corning Inc.;28.45;-0.78;35.1;26.31;25759280346;2970000000
COST;Costco Wholesale Corp.;178.61;6.09;199.88;150;80439804508;5679000000
COTY;Coty, Inc;19.96;-0.63;21.175;14.24;13101112504;211400000
CCI;Crown Castle International Corp.;103.81;1.02;114.97;86.93;44183023189;2292600000
CSRA;CSRA Inc.;30.85;1.83;33.79;27.38;5134501276;543000000
CSX;CSX Corp.;50.47;6.07;60.04;45.41;47340511707;5003000000
CMI;Cummins Inc.;165.73;8.23;194.18;143.8301;28669230787;2924000000
CVS;CVS Health;70.55;4.91;84;66.45;75323141722;11704000000
DHI;D. R. Horton;44.55;2.73;53.32;29.3716;17390873686;1691000000
DHR;Danaher Corp.;92.16;3.53;104.82;78.97;66351150000;4339800000
DRI;Darden Restaurants;91.33;3.81;100.11;71.7;11745595320;997600000
DVA;DaVita Inc.;71.91;4.3;80.71;52.51;13685178000;2252294000
DE;Deere & Co.;153.66;6.64;171.96;106.72;52186628646;4053300000
DAL;Delta Air Lines Inc.;51.23;4.94;60.79;43.81;38393603535;8348000000
XRAY;Dentsply Sirona;56.85;1.99;68.98;52.535;13390513478;-411100000
DVN;Devon Energy Corp.;34.94;-6.89;47.25;28.7947;19317380000;3723000000
DLR;Digital Realty Trust Inc;98.96;2.19;127.23;101.101;21400952517;1260662000
DFS;Discover Financial Services;72.4;5.41;81.93;57.5;27433540000;0
DISCA;Discovery Communications-A;22.87;1.96;30.25;15.99;8763756733;2100000000
DISCK;Discovery Communications-C;21.58;1.96;29.18;14.99;8320262123;2100000000
DISH;Dish Network;43.77;3.06;66.5;42.48;21032719056;2754331000
DG;Dollar General;95.1;4.43;105.82;65.97;26580644874;2457604000
DLTR;Dollar Tree;101.58;3.77;116.65;65.63;25151198417;2430300000
